                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     320                                     1533                  3.0000000000000000E+000                  2.0000000000000000E-002                  3.9663559213004321E+008                  7.1127516534458904E+004                  4.5824644482390340E+003                  2.6512065871263121E+002                  2.5833112623532426E+001                  1.8246633535255824E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5153405203681263E-001                  2.8831680676224603E-002                  1.2262017422962677E-002                  7.0802569935841107E-004                  2.5870023153380596E-003                  2.9981435625120270E+000                 -8.4000128886480238E-011                  1.6430567595468069E+000                  3.5606077984184285E-004                  1.2899253169384284E+000                  1.0409784191267269E-002                  1.4536466882045322E-002                  2.1299602611976127E-002                  6.3354751779508183E-003                  5.0983790269105589E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5891991611533100E+005                  3.0907611890911481E+004                  1.1308600307008764E+008                  2.6166273970868815E+002                  2.3949328611813758E+002                  2.1439465106271165E+001                  1.6327149750909427E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.2516867362203052E+016                               "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260218"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                 velocity                                       cp                                   csound                                       pp                                      cno                                tri_alpha                                  opacity                        mlt_mixing_length                                 brunt_N2                brunt_N2_composition_term                              log_brunt_N                             log_lamb_Sl1                             log_lamb_Sl2                             log_lamb_Sl3 
                                       1                  2.9981435625120270E+000                  1.4121767373302050E+000                  3.6610991841893727E+000                 -7.8833975105736860E+000                  3.5668886710003878E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658046317495891E+008                  6.8313691996718082E+005                  1.7339038680071939E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2266540847201696E-002                  4.5787781312557573E+009                  1.4564340821543585E-008                  0.0000000000000000E+000                 -3.9183545833260709E+000                 -1.0677558539062120E+000                 -8.2919522654638089E-001                 -6.7868022871439027E-001 
                                       2                  2.9981435625102284E+000                  1.4121767357020885E+000                  3.6610994238693118E+000                 -7.8833958330777305E+000                  3.5668905881445210E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658045590682518E+008                  6.8313711504483537E+005                  1.7339105660890503E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2266621358024426E-002                  4.5787789391360245E+009                  1.4564325463189090E-008                 -6.8187793601504917E-019                 -3.9183548123117902E+000                 -1.0677558109388254E+000                 -8.2919518357899424E-001                 -6.7868018574700362E-001 
                                       3                  2.9981435625066308E+000                  1.4121767324458694E+000                  3.6610997501009912E+000                 -7.8833935498335306E+000                  3.5668931975771780E+000                  6.6549996975492676E-001                  3.1440285406183388E-001                  2.0097176183239363E-002                  0.0000000000000000E+000                  1.5658044601406842E+008                  6.8313738056782680E+005                  1.7339196829076322E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2266730941883171E-002                  4.5787822393111115E+009                  1.4564263593482917E-008                 -3.0325927668957959E-018                 -3.9183557347619624E+000                 -1.0677556423253698E+000                 -8.2919501496553871E-001                 -6.7868001713354809E-001 
                                       4                  2.9981435625028827E+000                  1.4121767290539917E+000                  3.6611002577583402E+000                 -7.8833899968579564E+000                  3.5668972581428653E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658043061971757E+008                  6.8313779375506518E+005                  1.7339338697613327E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2266901467059660E-002                  4.5787856770060396E+009                  1.4564199145824183E-008                 -5.7377657163425413E-018                 -3.9183566956524429E+000                 -1.0677554666860356E+000                 -8.2919483932620464E-001                 -6.7867984149421412E-001 
                                       5                  2.9981435624952000E+000                  1.4121767221007002E+000                  3.6611009401858929E+000                 -7.8833852207892914E+000                  3.5669027165487379E+000                  6.6549996975492687E-001                  3.1440285406183383E-001                  2.0097176183239363E-002                  0.0000000000000000E+000                  1.5658040992558527E+008                  6.8313834918989951E+005                  1.7339529405474464E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2267130696231673E-002                  4.5787927243117046E+009                  1.4564067034630673E-008                 -5.4103421348618091E-018                 -3.9183586653942046E+000                 -1.0677551066243729E+000                 -8.2919447926454182E-001                 -6.7867948143255119E-001 
                                       6                  2.9981435624875172E+000                  1.4121767151474840E+000                  3.6611021136325048E+000                 -7.8833770084449766E+000                  3.5669121021844150E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658037434175256E+008                  6.8313930427126808E+005                  1.7339857328323291E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2267524854854059E-002                  4.5787997716779547E+009                  1.4563934926895709E-008                 -2.5414597793450598E-018                 -3.9183606351022675E+000                 -1.0677547465613668E+000                 -8.2919411920153585E-001                 -6.7867912136954511E-001 
                                       7                  2.9981435624687789E+000                  1.4121766981887409E+000                  3.6611049432459941E+000                 -7.8833572064860178E+000                  3.5669347333830093E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658028853640398E+008                  6.8314160733102995E+005                  1.7340648055552495E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2268475288846123E-002                  4.5788169607182884E+009                  1.4563612712123863E-008                 -4.7554874815340959E-019                 -3.9183654393548992E+000                 -1.0677538683534677E+000                 -8.2919324099363678E-001                 -6.7867824316164604E-001 
                                       8                  2.9981435624238069E+000                  1.4121766574896042E+000                  3.6611115180821603E+000                 -7.8833112007341617E+000                  3.5669873131051926E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5658008916292879E+008                  6.8314695870759699E+005                  1.7342485285771868E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2270683544160102E-002                  4.5788582161499090E+009                  1.4562839415353358E-008                  0.0000000000000000E+000                 -3.9183769697163355E+000                 -1.0677517606224864E+000                 -8.2919113326265537E-001                 -6.7867613543066463E-001 
                                       9                  2.9981435623207453E+000                  1.4121765642305841E+000                  3.6611221299614463E+000                 -7.8832369648992398E+000                  3.5670721594309569E+000                  6.6549996975492687E-001                  3.1440285406183388E-001                  2.0097176183239251E-002                  0.0000000000000000E+000                  1.5657976737349844E+008                  6.8315559600123600E+005                  1.7345450289036729E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2274247187813460E-002                  4.5789527655293264E+009                  1.4561067387007028E-008                  0.0000000000000000E+000                 -3.9184033941290615E+000                 -1.0677469302278522E+000                 -8.2918630286802109E-001                 -6.7867130503603046E-001 
